#	Isochrone	Z = 0.01900		Age = 	4.467e+09 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	9.65	1.12258935	1.1214	0.3184	3.7836	4.2498	3.974	4.642	4.594	4.013	3.674	3.362	3.017	2.734	2.701	-0.63367707
	9.65	1.12962186	1.1284	0.3357	3.7841	4.2372	3.931	4.594	4.548	3.969	3.631	3.319	2.976	2.695	2.661	-0.62835715
	9.65	1.14166319	1.1404	0.3630	3.7843	4.2150	3.862	4.525	4.478	3.900	3.563	3.251	2.908	2.627	2.593	-0.61942671
	9.65	1.15228462	1.1509	0.3844	3.7837	4.1953	3.809	4.476	4.426	3.847	3.509	3.196	2.851	2.570	2.536	-0.61173108
	9.65	1.20000005	1.1982	0.5525	3.7895	4.0682	3.389	4.006	3.973	3.418	3.093	2.787	2.459	2.193	2.156	-0.57912395
	9.65	1.20024979	1.1985	0.5624	3.7905	4.0623	3.364	3.973	3.943	3.392	3.069	2.764	2.439	2.175	2.137	-0.57896128
	9.65	1.20038354	1.1986	0.5666	3.7907	4.0590	3.354	3.961	3.931	3.381	3.059	2.754	2.429	2.166	2.129	-0.57887419
	9.65	1.21036673	1.2085	0.5999	3.7858	4.0094	3.270	3.921	3.872	3.304	2.971	2.660	2.321	2.048	2.013	-0.57243781
	9.65	1.24262929	1.2403	0.6613	3.7668	3.8835	3.117	3.963	3.828	3.181	2.813	2.475	2.084	1.765	1.727	-0.55246541
	9.65	1.25478113	1.2522	0.6371	3.7439	3.8201	3.177	4.296	4.031	3.290	2.878	2.504	2.045	1.676	1.628	-0.54525475
	9.65	1.25887537	1.2563	0.6098	3.7316	3.7996	3.246	4.535	4.189	3.394	2.957	2.561	2.061	1.664	1.614	-0.54286212
	9.65	1.26200819	1.2593	0.5870	3.7212	3.7820	3.303	4.744	4.326	3.484	3.027	2.610	2.074	1.651	1.601	-0.54104364
	9.65	1.26498628	1.2623	0.5740	3.7120	3.7592	3.335	4.921	4.434	3.555	3.076	2.643	2.075	1.622	1.570	-0.53932479
	9.65	1.26588213	1.2632	0.5717	3.7094	3.7515	3.341	4.967	4.460	3.571	3.086	2.649	2.071	1.611	1.558	-0.53880959
	9.65	1.27277100	1.2699	0.6172	3.6982	3.6636	3.227	5.033	4.441	3.504	2.993	2.538	1.919	1.423	1.369	-0.53487631
	9.65	1.27731407	1.2744	0.6760	3.6938	3.5887	3.080	4.962	4.335	3.380	2.856	2.393	1.757	1.247	1.193	-0.53230965
	9.65	1.28115880	1.2781	0.7386	3.6908	3.5153	2.923	4.860	4.208	3.238	2.706	2.238	1.589	1.072	1.017	-0.53015423
	9.65	1.28426719	1.2812	0.7970	3.6888	3.4496	2.777	4.753	4.083	3.102	2.565	2.092	1.435	0.913	0.858	-0.52842269
	9.65	1.28719652	1.2840	0.8600	3.6868	3.3797	2.620	4.635	3.945	2.954	2.413	1.935	1.271	0.743	0.687	-0.52679989
	9.65	1.28976691	1.2864	0.9218	3.6848	3.3109	2.465	4.519	3.810	2.808	2.263	1.781	1.110	0.576	0.519	-0.52538307
	9.65	1.29197335	1.2885	0.9852	3.6828	3.2403	2.307	4.401	3.673	2.660	2.110	1.624	0.945	0.405	0.347	-0.52417214
